PushToRight: Simple-Model 0, Manhours: 685 Adjustments: 126
PushToRight: Simple-Model 1, Manhours: 640 Adjustments: 143
PushToRight: Simple-Model 2, Manhours: 618 Adjustments: 137
PushToRight: Simple-Model 3, Manhours: 672 Adjustments: 111
PushToRight: Simple-Model 4, Manhours: 627 Adjustments: 132
PushToRight: Simple-Model 5, Manhours: 627 Adjustments: 130
PushToRight: Simple-Model 6, Manhours: 612 Adjustments: 139
PushToRight: Simple-Model 7, Manhours: 648 Adjustments: 117
PushToRight: Simple-Model 8, Manhours: 622 Adjustments: 126
PushToRight: Simple-Model 9, Manhours: 771 Adjustments: 92
PushToRight: Simple-Model 10, Manhours: 657 Adjustments: 123
PushToRight: Simple-Model 11, Manhours: 832 Adjustments: 122
PushToRight: Simple-Model 12, Manhours: 721 Adjustments: 117
PushToRight: Simple-Model 13, Manhours: 642 Adjustments: 118
PushToRight: Simple-Model 14, Manhours: 642 Adjustments: 126
PushToRight: Simple-Model 15, Manhours: 715 Adjustments: 126
PushToRight: Simple-Model 16, Manhours: 655 Adjustments: 141
PushToRight: Simple-Model 17, Manhours: 758 Adjustments: 121
PushToRight: Simple-Model 18, Manhours: 622 Adjustments: 131
PushToRight: Simple-Model 19, Manhours: 683 Adjustments: 85
PushToRight: Simple-Model 20, Manhours: 622 Adjustments: 137
PushToRight: Simple-Model 21, Manhours: 627 Adjustments: 125
PushToRight: Simple-Model 22, Manhours: 716 Adjustments: 120
PushToRight: Simple-Model 23, Manhours: 685 Adjustments: 142
PushToRight: Simple-Model 24, Manhours: 676 Adjustments: 131
PushToRight: Simple-Model 25, Manhours: 676 Adjustments: 129
PushToRight: Simple-Model 26, Manhours: 677 Adjustments: 135
PushToRight: Simple-Model 27, Manhours: 627 Adjustments: 128
PushToRight: Simple-Model 28, Manhours: 627 Adjustments: 145
PushToRight: Simple-Model 29, Manhours: 663 Adjustments: 116
PushToRight: Simple-Model 30, Manhours: 602 Adjustments: 114
PushToRight: Simple-Model 31, Manhours: 642 Adjustments: 121
PushToRight: Simple-Model 32, Manhours: 627 Adjustments: 120
PushToRight: Simple-Model 33, Manhours: 613 Adjustments: 124
PushToRight: Simple-Model 34, Manhours: 622 Adjustments: 110
PushToRight: Simple-Model 35, Manhours: 664 Adjustments: 108
PushToRight: Simple-Model 36, Manhours: 628 Adjustments: 114
PushToRight: Simple-Model 37, Manhours: 670 Adjustments: 139
PushToRight: Simple-Model 38, Manhours: 657 Adjustments: 120
PushToRight: Simple-Model 39, Manhours: 663 Adjustments: 92
PushToRight: Simple-Model 40, Manhours: 730 Adjustments: 120
PushToRight: Simple-Model 41, Manhours: 648 Adjustments: 121
PushToRight: Simple-Model 42, Manhours: 657 Adjustments: 125
PushToRight: Simple-Model 43, Manhours: 648 Adjustments: 118
PushToRight: Simple-Model 44, Manhours: 613 Adjustments: 115
PushToRight: Simple-Model 45, Manhours: 650 Adjustments: 129
PushToRight: Simple-Model 46, Manhours: 678 Adjustments: 118
PushToRight: Simple-Model 47, Manhours: 657 Adjustments: 126
PushToRight: Simple-Model 48, Manhours: 739 Adjustments: 114
PushToRight: Simple-Model 49, Manhours: 711 Adjustments: 105
PushToRight: Simple-Model 50, Manhours: 676 Adjustments: 133
PushToRight: Simple-Model 51, Manhours: 597 Adjustments: 146
PushToRight: Simple-Model 52, Manhours: 603 Adjustments: 131
PushToRight: Simple-Model 53, Manhours: 618 Adjustments: 141
PushToRight: Simple-Model 54, Manhours: 670 Adjustments: 139
PushToRight: Simple-Model 55, Manhours: 723 Adjustments: 106
PushToRight: Simple-Model 56, Manhours: 622 Adjustments: 116
PushToRight: Simple-Model 57, Manhours: 773 Adjustments: 119
PushToRight: Simple-Model 58, Manhours: 612 Adjustments: 131
PushToRight: Simple-Model 59, Manhours: 713 Adjustments: 87
PushToRight: Simple-Model 60, Manhours: 597 Adjustments: 136
PushToRight: Simple-Model 61, Manhours: 685 Adjustments: 130
PushToRight: Simple-Model 62, Manhours: 700 Adjustments: 117
PushToRight: Simple-Model 63, Manhours: 655 Adjustments: 138
PushToRight: Simple-Model 64, Manhours: 773 Adjustments: 116
PushToRight: Simple-Model 65, Manhours: 700 Adjustments: 125
PushToRight: Simple-Model 66, Manhours: 640 Adjustments: 148
PushToRight: Simple-Model 67, Manhours: 665 Adjustments: 129
PushToRight: Simple-Model 68, Manhours: 663 Adjustments: 124
PushToRight: Simple-Model 69, Manhours: 648 Adjustments: 126
PushToRight: Simple-Model 70, Manhours: 607 Adjustments: 130
PushToRight: Simple-Model 71, Manhours: 715 Adjustments: 118
PushToRight: Simple-Model 72, Manhours: 669 Adjustments: 118
PushToRight: Simple-Model 73, Manhours: 666 Adjustments: 135
PushToRight: Simple-Model 74, Manhours: 617 Adjustments: 116
PushToRight: Simple-Model 75, Manhours: 691 Adjustments: 130
PushToRight: Simple-Model 76, Manhours: 691 Adjustments: 130
PushToRight: Simple-Model 77, Manhours: 642 Adjustments: 125
PushToRight: Simple-Model 78, Manhours: 648 Adjustments: 117
PushToRight: Simple-Model 79, Manhours: 728 Adjustments: 131
PushToRight: Simple-Model 80, Manhours: 700 Adjustments: 126
PushToRight: Simple-Model 81, Manhours: 622 Adjustments: 125
PushToRight: Simple-Model 82, Manhours: 715 Adjustments: 118
